"","Var2","Freq.A","Freq.B","dist","Trait","Species"
"ACMI .1","A",34.1344520646707,40.5766638365462,0.0862282900498159,"SLA","ACMI"
"ACMI .3","B",34.1344520646707,18.2786393318822,0.302516266648438,"SLA","ACMI"
"ACMI .5","C",34.1344520646707,0.158473245578425,0.990757671202167,"SLA","ACMI"
"ACMI .7","D",34.1344520646707,0.114990076931481,0.993285141611588,"SLA","ACMI"
"ACMI .9","E",34.1344520646707,0.116289780187385,0.993209502981621,"SLA","ACMI"
"ACMI .11","F",34.1344520646707,0.360714305782901,0.979086095604869,"SLA","ACMI"
"ACMI .13","G",34.1344520646707,0.273776419153951,0.984086572821809,"SLA","ACMI"
"ACMI .15","H",34.1344520646707,0.335506274621273,0.980533409914869,"SLA","ACMI"
"ACMI .17","I",34.1344520646707,0.218728683957883,0.987265884602746,"SLA","ACMI"
"ACMI .19","J",34.1344520646707,27.1925613202018,0.113194665145413,"SLA","ACMI"
"ACMI .21","K",34.1344520646707,69.9368652856841,0.344018065039813,"SLA","ACMI"
"ACMI .23","L",34.1344520646707,65.1916293802416,0.312678974784641,"SLA","ACMI"
"ACMI .25","M",34.1344520646707,14.0992445215881,0.415377815947666,"SLA","ACMI"
"ACMI .27","N",34.1344520646707,0.243736622073579,0.985820275506978,"SLA","ACMI"
"ACMI .29","O",34.1344520646707,0.0878001051944141,0.99486882951136,"SLA","ACMI"
"ACMI .31","P",34.1344520646707,0.0798620370670149,0.995331659326588,"SLA","ACMI"
"ACMI .33","Q",34.1344520646707,0.0769597838605661,0.995500929093409,"SLA","ACMI"
"ACMI .35","R",34.1344520646707,0.14774,0.991380947885637,"SLA","ACMI"
"ACMI .37","S",34.1344520646707,0.0671428571428571,0.996073700229691,"SLA","ACMI"
"ACMI .39","T",34.1344520646707,0.0708788807616394,0.995855682210781,"SLA","ACMI"
"ACMI .41","U",34.1344520646707,0.0976793404273165,0.994293119568198,"SLA","ACMI"
"ACMI .43","V",40.5766638365462,18.2786393318822,0.378861772928991,"SLA","ACMI"
"ACMI .45","W",40.5766638365462,0.158473245578425,0.992219334121354,"SLA","ACMI"
"ACMI .47","X",40.5766638365462,0.114990076931481,0.994348222995507,"SLA","ACMI"
"ACMI .49","Y",40.5766638365462,0.116289780187385,0.994284524968,"SLA","ACMI"
"ACMI .51","Z",40.5766638365462,0.360714305782901,0.982377263901524,"SLA","ACMI"
"ACMI .53","A1",40.5766638365462,0.273776419153951,0.986596158208319,"SLA","ACMI"
"ACMI .55","B1",40.5766638365462,0.335506274621273,0.983598705533848,"SLA","ACMI"
"ACMI .57","C1",40.5766638365462,0.218728683957883,0.989276794733721,"SLA","ACMI"
"ACMI .59","D1",40.5766638365462,27.1925613202018,0.19749528617728,"SLA","ACMI"
"ACMI .61","E1",40.5766638365462,69.9368652856841,0.265670653017196,"SLA","ACMI"
"ACMI .63","F1",40.5766638365462,65.1916293802416,0.232725373503412,"SLA","ACMI"
"ACMI .65","G1",40.5766638365462,14.0992445215881,0.484261169316613,"SLA","ACMI"
"ACMI .67","H1",40.5766638365462,0.243736622073579,0.98805809745445,"SLA","ACMI"
"ACMI .69","I1",40.5766638365462,0.0878001051944141,0.995681728138839,"SLA","ACMI"
"ACMI .71","J1",40.5766638365462,0.0798620370670149,0.996071379177096,"SLA","ACMI"
"ACMI .73","K1",40.5766638365462,0.0769597838605661,0.996213878271755,"SLA","ACMI"
"ACMI .75","L1",40.5766638365462,0.14774,0.992744399618814,"SLA","ACMI"
"ACMI .77","M1",40.5766638365462,0.0671428571428571,0.996696035012228,"SLA","ACMI"
"ACMI .79","N1",40.5766638365462,0.0708788807616394,0.996512513376044,"SLA","ACMI"
"ACMI .81","O1",40.5766638365462,0.0976793404273165,0.995197004657097,"SLA","ACMI"
"ACMI .83","P1",18.2786393318822,0.158473245578425,0.982809320612149,"SLA","ACMI"
"ACMI .85","Q1",18.2786393318822,0.114990076931481,0.98749674962176,"SLA","ACMI"
"ACMI .87","R1",18.2786393318822,0.116289780187385,0.987356322008212,"SLA","ACMI"
"ACMI .89","S1",18.2786393318822,0.360714305782901,0.961295406182541,"SLA","ACMI"
"ACMI .91","T1",18.2786393318822,0.273776419153951,0.970486170337288,"SLA","ACMI"
"ACMI .93","U1",18.2786393318822,0.335506274621273,0.963951471991918,"SLA","ACMI"
"ACMI .95","V1",18.2786393318822,0.218728683957883,0.976350291158117,"SLA","ACMI"
"ACMI .97","W1",18.2786393318822,27.1925613202018,0.19603445390684,"SLA","ACMI"
"ACMI .99","X1",18.2786393318822,69.9368652856841,0.585591231130534,"SLA","ACMI"
"ACMI .101","Y1",18.2786393318822,65.1916293802416,0.562032335251671,"SLA","ACMI"
"ACMI .103","Z1",18.2786393318822,14.0992445215881,0.129081777833547,"SLA","ACMI"
"ACMI .105","A2",18.2786393318822,0.243736622073579,0.973681926910513,"SLA","ACMI"
"ACMI .107","B2",18.2786393318822,0.0878001051944141,0.990439071710636,"SLA","ACMI"
"ACMI .109","C2",18.2786393318822,0.0798620370670149,0.991299721533688,"SLA","ACMI"
"ACMI .111","D2",18.2786393318822,0.0769597838605661,0.991614571295081,"SLA","ACMI"
"ACMI .113","E2",18.2786393318822,0.14774,0.983964294087404,"SLA","ACMI"
"ACMI .115","F2",18.2786393318822,0.0671428571428571,0.992680294963599,"SLA","ACMI"
"ACMI .117","G2",18.2786393318822,0.0708788807616394,0.992274578554024,"SLA","ACMI"
"ACMI .119","H2",18.2786393318822,0.0976793404273165,0.989368997983856,"SLA","ACMI"
"ACMI .121","I2",0.158473245578425,0.114990076931481,0.159009143339023,"SLA","ACMI"
"ACMI .123","J2",0.158473245578425,0.116289780187385,0.153526717335665,"SLA","ACMI"
"ACMI .125","K2",0.158473245578425,0.360714305782901,0.389533723746253,"SLA","ACMI"
"ACMI .127","L2",0.158473245578425,0.273776419153951,0.266751331425359,"SLA","ACMI"
"ACMI .129","M2",0.158473245578425,0.335506274621273,0.358381312997107,"SLA","ACMI"
"ACMI .131","N2",0.158473245578425,0.218728683957883,0.15974318703388,"SLA","ACMI"
"ACMI .133","O2",0.158473245578425,27.1925613202018,0.988411901188067,"SLA","ACMI"
"ACMI .135","P2",0.158473245578425,69.9368652856841,0.995478351374029,"SLA","ACMI"
"ACMI .137","Q2",0.158473245578425,65.1916293802416,0.995150023053956,"SLA","ACMI"
"ACMI .139","R2",0.158473245578425,14.0992445215881,0.977770180590422,"SLA","ACMI"
"ACMI .141","S2",0.158473245578425,0.243736622073579,0.211987281647015,"SLA","ACMI"
"ACMI .143","T2",0.158473245578425,0.0878001051944141,0.28697031230634,"SLA","ACMI"
"ACMI .145","U2",0.158473245578425,0.0798620370670149,0.329834540815159,"SLA","ACMI"
"ACMI .147","V2",0.158473245578425,0.0769597838605661,0.346227808018677,"SLA","ACMI"
"ACMI .149","W2",0.158473245578425,0.14774,0.0350515391917484,"SLA","ACMI"
"ACMI .151","X2",0.158473245578425,0.0671428571428571,0.404804388223982,"SLA","ACMI"
"ACMI .153","Y2",0.158473245578425,0.0708788807616394,0.38192087518259,"SLA","ACMI"
"ACMI .155","Z2",0.158473245578425,0.0976793404273165,0.237334731220498,"SLA","ACMI"
"ACMI .157","A3",0.114990076931481,0.116289780187385,0.00561961284521038,"SLA","ACMI"
"ACMI .159","B3",0.114990076931481,0.360714305782901,0.516548171049655,"SLA","ACMI"
"ACMI .161","C3",0.114990076931481,0.273776419153951,0.40843628198757,"SLA","ACMI"
"ACMI .163","D3",0.114990076931481,0.335506274621273,0.489496079002026,"SLA","ACMI"
"ACMI .165","E3",0.114990076931481,0.218728683957883,0.31085638323101,"SLA","ACMI"
"ACMI .167","F3",0.114990076931481,27.1925613202018,0.99157814809104,"SLA","ACMI"
"ACMI .169","G3",0.114990076931481,69.9368652856841,0.996717001246113,"SLA","ACMI"
"ACMI .171","H3",0.114990076931481,65.1916293802416,0.996478455694468,"SLA","ACMI"
"ACMI .173","I3",0.114990076931481,14.0992445215881,0.983820433504952,"SLA","ACMI"
"ACMI .175","J3",0.114990076931481,0.243736622073579,0.35889869780861,"SLA","ACMI"
"ACMI .177","K3",0.114990076931481,0.0878001051944141,0.134079329936137,"SLA","ACMI"
"ACMI .179","L3",0.114990076931481,0.0798620370670149,0.180280517073259,"SLA","ACMI"
"ACMI .181","M3",0.114990076931481,0.0769597838605661,0.19812618208729,"SLA","ACMI"
"ACMI .183","N3",0.114990076931481,0.14774,0.124652355950322,"SLA","ACMI"
"ACMI .185","O3",0.114990076931481,0.0671428571428571,0.262704930504744,"SLA","ACMI"
"ACMI .187","P3",0.114990076931481,0.0708788807616394,0.237324170304284,"SLA","ACMI"
"ACMI .189","Q3",0.114990076931481,0.0976793404273165,0.0813973946943189,"SLA","ACMI"
"ACMI .191","R3",0.116289780187385,0.360714305782901,0.512415999746262,"SLA","ACMI"
"ACMI .193","S3",0.116289780187385,0.273776419153951,0.403743362620235,"SLA","ACMI"
"ACMI .195","T3",0.116289780187385,0.335506274621273,0.48521117460118,"SLA","ACMI"
"ACMI .197","U3",0.116289780187385,0.218728683957883,0.305770919318881,"SLA","ACMI"
