"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"148","h2","HECO",NA,NA,NA,NA,NA,"RGR_Above"
"149","h2","HEVI",NA,NA,NA,NA,NA,"RGR_Above"
"150","h2","MACA",NA,NA,NA,NA,NA,"RGR_Above"
"151","h2","MUPO",NA,NA,NA,NA,NA,"RGR_Above"
"152","h2","PAMU",NA,NA,NA,NA,NA,"RGR_Above"
"153","h2","PLPA",NA,NA,NA,NA,NA,"RGR_Above"
"154","h2","VUOC",NA,NA,NA,NA,NA,"RGR_Above"
"155","h3","ACMI",0.0838099190604881,0.0950330623526038,0.117320945340448,0.140683611576942,0.15249892429478,"RGR_Above"
"156","h3","ARTR",0.108009808877794,0.123112010835164,0.152789895896583,0.182360230779985,0.198295159754254,"RGR_Above"
"157","h3","ELTR",0.049483867923846,0.0664842602713062,0.0993844532567051,0.13258277023804,0.150018167245392,"RGR_Above"
"158","h3","HEAN",0.0502728540362272,0.0685146533690025,0.102059243023143,0.134402035090502,0.150994981579574,"RGR_Above"
"159","h3","HECO",0.0119973650140003,0.0273918888732711,0.0600052162185441,0.0902378622638984,0.10616698396652,"RGR_Above"
"160","h3","HEVI",0.0294010370134481,0.0473570349057216,0.0798942320579202,0.110549826025046,0.128093989301126,"RGR_Above"
"161","h3","MACA",0.0716219277701964,0.0884863478337922,0.11874877111839,0.147457923676199,0.162107135936121,"RGR_Above"
"162","h3","MUPO",0.0608007617135139,0.0800687013316336,0.116286252886933,0.151206936358974,0.168774384177031,"RGR_Above"
"163","h3","PAMU",0.0415268940863519,0.0587355331679912,0.0896424651652083,0.1211481639817,0.13843041278171,"RGR_Above"
"164","h3","PLPA",0.0623348019057548,0.0778840073223163,0.106459638594966,0.135588772565278,0.151441838393992,"RGR_Above"
"165","h3","VUOC",0.0881659730043444,0.103635329827758,0.133269040173872,0.162898545199781,0.179562129099176,"RGR_Above"
"166","h4","ACMI",NA,NA,NA,NA,NA,"RGR_Above"
"167","h4","ARTR",-0.0203838103931503,-0.00453999902685596,0.0259223312650306,0.0553565905943049,0.0719100002822386,"RGR_Above"
"168","h4","ELTR",0.00149179293777618,0.0180410078901911,0.0516290693122077,0.0840826689505341,0.102790321316317,"RGR_Above"
"169","h4","HEAN",0.012608757509748,0.0308374309525263,0.0651611604670528,0.0993476175081828,0.117373526555248,"RGR_Above"
"170","h4","HECO",-0.0303425920572791,-0.0130477223134115,0.0180579177267299,0.0498247506016486,0.0665872681757774,"RGR_Above"
"171","h4","HEVI",-0.0164958853712722,0.000780020722985879,0.0353034053353662,0.0672129378331043,0.0836564874757027,"RGR_Above"
"172","h4","MACA",-0.021116779487775,-0.0068653913455036,0.0237753101056963,0.053776323301115,0.0703788869385491,"RGR_Above"
"173","h4","MUPO",0.00222867543037387,0.0202426468995067,0.0550547004335488,0.0909440729050047,0.109100906865788,"RGR_Above"
"174","h4","PAMU",0.0186110804000575,0.0374181958671428,0.0695302526275829,0.100222282946059,0.117328854312119,"RGR_Above"
"175","h4","PLPA",-0.0357524130271693,-0.0207227311115953,0.00911563950882552,0.0404256785760048,0.056146841454225,"RGR_Above"
"176","h4","VUOC",-0.00408227565873781,0.0124792047593558,0.0438481551108847,0.0733864803463062,0.089084034016206,"RGR_Above"
