"","Days","POP_ID","LDMC","RDMC","RMR","RTD","SLA","SRL","rel_LDMC2","rel_RDMC2","rel_RMR2","rel_RTD2","rel_SLA2","rel_SRL2","H_num","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm"
"ARTR_UTSE_MO.57","24","ARTR_UTSE_MO",0.163236134934248,0.121102693602694,0.112771656092706,0.0862916666666667,20.4037549407115,44.7916327781879,0.165972392387487,0.499366682700016,-0.611842510379034,0.369708994708995,0.593866729440619,0.901615531541839,"H2","ARTR","UTSE","MO","FORB"
"ARTR_UTSE_MO.108","42","ARTR_UTSE_MO",0.138398351569073,0.0882887948695932,0.253749027612997,0.102758249105347,20.7367839180027,21.9360509335963,-0.152158609827287,-0.270959280565255,1.2501135161516,0.190824711988565,0.0163219455565368,-0.510264538865427,"H3","ARTR","UTSE","MO","FORB"
"ARTR_UTSE_MO.159","84","ARTR_UTSE_MO",0.259930204600959,0.1221649756097,0.224638760985054,0.122042156387097,15.5864154717852,13.7131731606707,0.878130784464077,0.383697396596515,-0.114720702190591,0.187662863562231,-0.248368718436912,-0.374856796139718,"H4","ARTR","UTSE","MO","FORB"
"ARTR_UTSW_BJ.7","10","ARTR_UTSW_BJ",0.143849206349206,0.0652863625005679,0.178424843541123,0.0628333333333333,24.075,47.2316300342093,NA,NA,NA,NA,NA,NA,"H1","ARTR","UTSW","BJ","FORB"
"ARTR_UTSW_BJ.58","24","ARTR_UTSW_BJ",0.148816930618401,0.115263278388278,0.235841827513916,0.140416666666667,23.8172619047619,24.8027019230769,0.0345342487127474,0.765503146040274,0.321799267597845,1.23474801061008,-0.0107056322009592,-0.474870930664205,"H2","ARTR","UTSW","BJ","FORB"
"ARTR_UTSW_BJ.109","42","ARTR_UTSW_BJ",0.139324000306999,0.084331047654731,0.268241802186084,0.0889973568098568,26.1049636242578,18.5263012592806,-0.0637893166587643,-0.268361538610314,0.137380103494389,-0.36619093073099,0.0960522552358778,-0.253053102168544,"H3","ARTR","UTSW","BJ","FORB"
"ARTR_UTSW_BJ.160","84","ARTR_UTSW_BJ",0.165330018445745,0.176005203113206,0.219452378058661,0.136963322732301,31.5678240740741,15.5290805526116,0.186658566230103,1.08707478453023,-0.181885983951063,0.53895944376105,0.209265200612649,-0.161781926393299,"H4","ARTR","UTSW","BJ","FORB"
"ARTR_UTSW_MV.8","10","ARTR_UTSW_MV",0.25,0.109437229437229,0.205702833751614,0.1025,24.059756097561,24.541346294268,NA,NA,NA,NA,NA,NA,"H1","ARTR","UTSW","MV","FORB"
"ARTR_UTSW_MV.59","24","ARTR_UTSW_MV",0.128407833951461,0.0393833943833944,0.174720685540731,0.0404126984126984,26.5230769230769,74.5466086142322,-0.486368664194157,-0.64012800227199,-0.15061604959849,-0.60572977158343,0.102383449588072,2.03759246621461,"H2","ARTR","UTSW","MV","FORB"
"ARTR_UTSW_MV.110","42","ARTR_UTSW_MV",0.125578843948685,0.0779208778987996,0.20076472419731,0.0559961315280464,29.5272824895902,25.0378796296296,-0.0220312882455852,0.978521128479828,0.149060991696413,0.385607339460693,0.113267611266451,-0.664131204691055,"H3","ARTR","UTSW","MV","FORB"
"ARTR_UTSW_MV.161","84","ARTR_UTSW_MV",0.142124879308369,0.117333742531719,0.213483489623719,0.126121635869674,29.5751250658241,11.6091768981947,0.131758143644366,0.505806219022671,0.063351594645231,1.25232765957242,0.00162028375793821,-0.536335461711522,"H4","ARTR","UTSW","MV","FORB"
"ARTR_UTSW_OCR.9","10","ARTR_UTSW_OCR",NA,0.227412587412587,0.201306542228408,0.07825,NA,24.212437614653,NA,NA,NA,NA,NA,NA,"H1","ARTR","UTSW","OCR","FORB"
"ARTR_UTSW_OCR.60","24","ARTR_UTSW_OCR",0.111601640220504,0.106601731601732,0.298730271185106,0.0930555555555556,36.189795034642,53.2640648148148,NA,-0.531240848122767,0.483957092890494,0.18920837770678,NA,1.19986379159859,"H2","ARTR","UTSW","OCR","FORB"
